customer_id,full_name,birth_date,gender,email,join_date,last_purchase,total_spent,membership_tier,discount_used,product_rating,address,phone_number,loyalty_points,purchase_frequency
CUST10013,Brian Rogers,1996-07-29,Male,invalid_email@,2022-03-08,2024-08-08,317.41,gold,nan,2,"4093 Kathy Viaduct Suite 866, Kurtland, VT 03235",001-208-327-9520x2803,2876,Monthly
CUST10014,Amanda Porter,1994-05-21,nan,jcardenas@example.com,2022-10-27,2024-09-22,522.12,GOLD,Yes,2,"6141 Katherine Keys, East Kendra, AZ 88474",001-556-292-3553x60317,913,Monthly
CUST10015,Terri Smith,1972-12-12,m,bgates@example.com,2021-02-20,2024-07-15,800.82,,Yes,2,"589 April Junctions, Jenkinstown, HI 17524",(237)339-2422x443,2886 points,Daily
CUST10016,Daniel Jones,1949-03-02,Female,westcraig@example.com,2024-10-05,2024-08-28,555.95,Bronze,N,5 stars,"4583 Ashley Port Suite 496, Lake Robert, NE 81141",393.579.8275x03205,3647,daily
CUST10017,Christopher Jackson,1960-07-03,nan,dana04@example.net,2023-03-23,2024-04-18,567.98,GOLD,False,Unknown,"14883 Stephen Lake, Port Randy, ID 71651",,4457,daily
CUST10018,Caitlin Ramirez,1997-04-11,nan,carlsonerica@example.com,11/27/2020,2025-02-03,288.4,,0,4,"7032 Petersen Trafficway Apt. 104, Hollyfurt, CA 28276",+1-719-524-5878x3248,3406,weekly
CUST10019,James Hill,1975-02-13,Male,aallen@example.org,2022-02-18,2024-05-17,1090.66,silver,Yes,3,"058 Matthew Overpass, Joshuaport, WA 48802",520.304.2182x426,4087,weekly
CUST10020,Mr. John Young,1954-01-21,f,briannadiaz@example.net,2023-08-20,2024-12-19,305.49,bronze,Y,nan,"1338 Lauren Gardens, Pearsonchester, SC 67863",+1-336-751-8498x990,4908,
CUST10021,Mrs. Susan Young,1956-07-30,m,pauldavis@example.com,2022-05-16,2025-03-23,0.34,gold,N,1,"0142 Cohen Mission Apt. 196, Port Kathrynstad, MT 47150",+1-942-732-7563x38839,1075,Monthly
CUST10022,Jack Johnson,1994-07-22,F,alexander30@example.com,03/18/2021,2025-03-29,758.06,GOLD,No,2,"69303 Carlos Hollow Apt. 485, Lake Ronaldchester, MD 86440",001-590-803-2218x57367,3102,daily
CUST10023,John Long,1979-11-08,nan,warrencarolyn@example.org,03/23/2022,2024-12-31,465.55,silver,nan,N/A,"04851 Hendrix Green Apt. 104, Williamsberg, RI 28813",497-916-2445,183,daily
CUST10024,FRANK RAMIREZ,1950-02-12,Female,crystal08@example.net,2024-12-27,2024-12-18,409.09,GOLD,Y,3,"62140 Robert Summit, South Tracey, ND 13181",566-808-6667x336,3144,weekly
CUST10025,Roger Luna,1964-08-12,f,wardterrence@example.com,11/10/2024,2025-02-12,336.33,silver,N,nan,"2349 Reyes Dale Apt. 564, Dustinport, PA 22827",271-266-0154,3218,Monthly
CUST10026,Jon Johnson,1957-11-16,f,invalid_email@,2020-06-06,2024-11-04,1061.51,gold,N,1,"35399 Caldwell Forge Suite 343, Stephanieland, NH 82690",4146343729,-123,
CUST10027,Christopher Howard,1995-10-03,F,invalid_email@,03/18/2025,2024-11-27,606.38,Silver,Yes,nan,"955 Laura Ferry Apt. 456, Lake Veronica, AR 61406",,3909,Daily
CUST10028,Erica Berger,1969-09-15,nan,corey38@example.net,2025-02-12,2024-08-11,664.93,Bronze,True,5 stars,"57145 Kelly Unions, New Pennyburgh, PR 13426",,1717 points,Weekly
CUST10029,Mark Young,1998-08-19,Female,diazsteven@example.org,Invalid Date,2024-07-03,548.78,Gold,True,1,"08993 Richard Estate, Williamsonberg, LA 97993",,991,
CUST10030,Kevin Murphy,1973-06-26,m,reedjennifer@example.com,2020-08-14,2025-02-16,581.01,Gold,No,nan,"02351 Rivas View, Allenfort, IL 97474",651.881.3724x9410,1466,
CUST10031,Paul Mckinney MD,2006-12-21,M,thompsonjacob@example.net,2025-01-22,2024-09-24,919.59,bronze,Yes,nan,"85134 Pena Trafficway, New Meganborough, AL 83720",,829,weekly
CUST10032,Michael Franco,1956-09-04,Female,carol70@example.org,10/21/2024,,424.74,GOLD,True,5,"USCGC Kaufman, FPO AP 86677",958.256.8830x8771,677,daily
CUST10033,BOBBY GARNER,1954-09-11,F,jphillips@example.com,Invalid Date,2024-07-01,62.92,,True,N/A,"9240 Robert Passage Suite 016, Fowlertown, NC 26092",001-534-370-5944x82847,3629,Yearly
CUST10034,Vanessa Rubio,1981-02-22,f,rgonzalez@example.com,10/04/2021,2024-07-20,760.42,gold,1,3,"556 Henry Gardens Suite 097, Michaelbury, NC 39281",5748560261,4887,daily
CUST10035,Erika Phelps,1994-03-02,m,dennismartin@example.com,2022-12-08,2024-08-26,649.01,GOLD,No,Unknown,"166 Dixon Key Suite 194, Port Parker, TN 49261",8246440853,609,Weekly
CUST10036,Walter Brooks,1988-03-09,Female,fwilliams@example.net,2023-02-04,2024-09-19,532.39,Silver,0,3,"89711 Darlene Extension Apt. 775, Nancybury, ID 01047",779-530-3238x514,2674,Weekly
CUST10037,Kimberly Wade,1947-09-03,M,hendersonmichael@example.org,2020-06-04,2024-12-05,641.23,Silver,True,N/A,"051 Douglas Center Suite 233, Lake Veronica, MT 62804",+1-477-312-1207x79597,3034,Weekly
CUST10038,Sarah Stevenson,1993-05-19,M,david93@example.net,2022-11-06,2024-05-02,388.78,Silver,True,4,"40104 franklin hill, lake kristi, me 16282",(621)424-7520,718,
CUST10039,Travis Stephenson,2004-01-08,Male,ashley30@example.net,2024-01-02,2024-05-19,506.21,Gold,nan,5,"7267 Smith Cove Suite 582, Lake Reginald, HI 23012",485.530.8924x51020,90,Weekly
CUST10040,Peggy White,1990-08-22,Male,deannawelch@example.com,2022-03-21,2024-04-23,460.49,silver,No,N/A,"117 Hill Spurs Apt. 915, Lake Michael, NC 15298",(401)423-0396x13655,2686,Yearly
CUST10041,Richard Bryant,1982-02-20,U,bsellers@example.org,10/30/2021,,322.55,bronze,No,2,"43764 Dawn Manor Apt. 143, West Melissaport, HI 61030",(802)318-0043x13042,236,Daily
CUST10042,Cynthia Shannon,1970-12-29,F,diazfelicia@example.net,2020-07-24,2025-02-22,856.75,GOLD,True,4,"8368 Keith Grove, West Robertfurt, CT 81324",934.864.2946x85332,3243,
CUST10043,Johnny Walton,2002-02-12,nan,grios@example.com,07/17/2021,2024-06-29,76.32,,Yes,N/A,"397 Chapman Brooks, Laurenbury, FL 48387",461.391.6874x806,3728 points,Weekly
CUST10044,Aaron Warren,1982-12-01,Female,noah23@example.org,02/24/2025,2024-09-05,1208.26,Gold,True,3,"925 Gray Gateway Apt. 594, Nicolemouth, FL 27532",823-778-4653,482,Weekly
CUST10045,BETH BLAIR,1995-04-04,Female,invalid_email@,2020-05-07,2024-08-28,763.21,Silver,True,4,"24575 Kelly Crossroad Suite 470, Summersstad, VT 70365",+1-448-375-7197x209,1689,weekly
CUST10046,David Fowler,1946-08-22,nan,hayesmichael@example.org,2020-06-16,2024-05-22,33.39,Gold,0,Unknown,"PSC 3632, Box 2925, APO AE 99015",996.900.6894x035,2269,Yearly
CUST10047,Jeffrey Sanchez,2001-09-25,U,yturner@example.org,2021-10-20,2025-03-17,432.75,Gold,False,3,"350 Parks Ramp, Johnville, WI 95087",637.718.7412x2866,1513,daily
CUST10048,Jessica Frazier,1980-06-15,f,stephenmiller@example.com,2021-12-24,2024-08-21,449.44,bronze,False,nan,"672 lopez harbors, beverlyfort, ky 02793",,3291,daily
CUST10049,Dr. Stephen Berry,1973-07-16,f,jennifer15@example.net,2023-04-20,2024-07-20,617.57,Bronze,True,5,"3756 Daniel Ridge Apt. 252, West Daniel, MN 80997",123-456,1255,Yearly
CUST10050,Michael Bennett,1960-09-18,U,dsimmons@example.com,2024-06-14,2025-03-27,203.19,gold,True,2,"PSC 4207, Box 8627, APO AP 10054",(215)501-0980x16762,4751,daily
CUST10051,Kimberly Gates,1995-08-24,f,margaret29@example.org,2020-06-17,2024-06-18,40726.59415,GOLD,0,Unknown,"PSC 8025, Box 1378, APO AA 01128",(801)326-1850,2376,Monthly
CUST10052,Regina Brown,1991-01-19,Male,amercado@example.org,2020-11-02,2024-06-20,463.66,silver,Yes,Unknown,"4019 Snyder Ville, Riosshire, WY 57538",+1-384-445-6204x6349,3262,Daily
CUST10053,Leslie Scott,1950-06-05,Female,dennis50@example.com,2023-02-14,2025-04-01,278.71,GOLD,nan,1,"60567 Ashley Fort, West Ronald, MO 82512",001-492-563-0060x24986,1343 points,weekly
CUST10054,Adam Trujillo,1977-05-13,U,daltonbrandon@example.org,2025-03-29,2024-12-23,236.97,Bronze,False,nan,"3484 hicks parkways apt. 697, beverlyland, ia 67187",565-885-2865x66680,666,daily
CUST10055,Carolyn Martinez,1975-05-28,Female,qlynn@example.net,2021-01-28,2025-04-04,775.64,gold,nan,2,"888 Brittany Walks Suite 645, Youngchester, SD 11726",001-456-257-9539x21956,3208,Yearly
CUST10056,TYLER KELLY,1975-11-04,nan,mercadomatthew@example.net,2021-06-21,2024-10-27,8.97,Silver,No,4,"PSC 6544, Box 7835, APO AP 96246",(678)252-4969x4380,3027,Monthly
CUST10057,Troy Ponce,1963-02-07,M,pcobb@example.org,04/11/2023,2024-12-03,643.36,bronze,Y,5 stars,"09918 Jonathan Ports Suite 548, East Alexis, DE 75489",,3930 points,Daily
CUST10058,Cynthia Hernandez,1987-06-11,Male,katie21@example.org,Invalid Date,2025-01-23,739.25,bronze,Yes,nan,"72184 Matthew Stravenue Apt. 030, Lake Anita, NJ 28025",773-256-8870x41015,4262 points,
CUST10059,Christopher Anderson,1960-05-13,m,ttaylor@example.net,2023-02-27,2024-06-09,434.43,Bronze,True,1,"695 Charles Unions, Gillborough, OR 15926",9392448870,4258,Weekly
CUST10060,David Zamora,1946-03-02,Male,thompsondavid@example.org,2024-02-07,,515.71,GOLD,No,nan,"236 Adams Greens Suite 254, Dannyhaven, OR 35601",+1-686-555-1785x7495,3468,
CUST10061,Katie Morse MD,2001-10-25,U,natalieaguilar@example.org,2023-02-11,2025-02-12,849.05,gold,Yes,Unknown,"83900 herman village, michaelstad, sd 27390",123-456,845 points,daily
CUST10062,Anna Franklin,2004-12-12,m,jenniferliu@example.net,Invalid Date,2024-08-26,288.54,bronze,nan,N/A,"7703 Elizabeth Canyon Suite 615, Crystalside, ND 12785",(723)524-8272x615,3508,weekly
CUST10063,Autumn Smith,1993-10-08,M,scottbentley@example.net,2021-03-30,2025-03-20,319.5,,nan,2,"USNV Marshall, FPO AP 53004",(820)603-8562,1024,Daily
CUST10064,Lisa Norman,2002-10-22,U,barbarafisher@example.com,2023-03-02,2025-01-20,351.35,,False,N/A,"USCGC Lee, FPO AP 74034",571-886-3024x333,2225,Daily
CUST10065,CHAD PEREZ,2005-10-12,F,gordontracy@example.org,12/27/2022,2024-11-29,849.6,Bronze,0,2,"36339 Vanessa Ville Suite 435, New Thomasburgh, OR 95631",(750)597-4757x6332,4014,weekly
CUST10066,Leslie Smith,1982-11-23,Female,ambervillegas@example.org,2024-10-14,,887.69,bronze,nan,nan,"556 Ruiz Roads, West Jonathan, SD 22098",(620)441-1408,3552,Weekly
CUST10067,Megan Ryan,1977-10-12,M,rshaw@example.com,2024-08-21,2024-06-26,81.23,Gold,True,4,"31926 Julie Lake Suite 417, East Kenneth, CA 19917",589-879-5695x0990,3061,Daily
CUST10068,Troy Kelly,1982-12-05,Female,kimberlyconway@example.net,2023-07-12,2025-01-12,801.87,Gold,No,2,"924 Brown Lights Suite 647, Port Ronniefurt, MI 95104",993-709-7440x672,870 points,weekly
CUST10069,Tina Ochoa MD,1994-03-13,f,,2023-01-01,2024-04-18,745.67,Bronze,N,5,"9642 Johnson Villages Apt. 127, South Markborough, MN 57760",(558)232-3363x3251,2291,daily
CUST10070,Darrell Hammond,1953-07-15,F,chelsea60@example.org,2021-05-22,2024-12-02,966.08,GOLD,Y,nan,"802 Lawson Forges Suite 398, West Tonyaton, MP 07874",,691,
CUST10071,Colton Douglas,1982-12-26,F,andrewsjulie@example.org,2021-04-23,2024-06-03,615.53,Bronze,1,4,"849 Ferrell Underpass Suite 501, Kathleenbury, IL 32764",+1-957-573-3334x191,3873,Monthly
CUST10072,Erika Foley,1968-09-27,M,amy45@example.org,2020-05-26,2024-12-04,486.72,GOLD,0,5,"4395 Bradford Key Apt. 773, Stephaniehaven, AZ 59281",4898880480,1371 points,daily
CUST10073,Samuel Burns,2005-09-04,F,invalid_email@,2024-04-27,,843.57,silver,True,Unknown,"05425 Brandon Squares Apt. 500, Port Peter, MI 82407",897.396.0014x248,4102,
CUST10074,William Ford,1982-09-24,m,bryan43@example.org,2021-05-21,2025-02-02,40836.63085,Silver,No,3,"08963 Amanda Lodge Apt. 312, Aaronchester, MH 51123",971-413-3477,1139,Yearly
CUST10075,Albert Cook,1997-11-21,F,rowlandsheila@example.com,2020-04-14,2024-12-05,1173.47,,nan,5 stars,"26425 Lee Highway Apt. 108, Jonathanmouth, NE 27199",001-760-423-7203x12208,4567,Daily
CUST10076,Kevin Lane II,1959-10-28,Female,janderson@example.net,2022-11-07,,787.61,Gold,Yes,1,"5197 Kelly Estates, Sabrinatown, TX 64406",(576)721-1425x31803,1614,Weekly
CUST10077,Gregory Summers,1993-02-16,Female,kristybradley@example.org,2020-12-28,2024-06-09,546.06,bronze,True,3,"81921 Ricky Trail, North Michaelshire, HI 41055",(352)248-0718x11755,4631,
CUST10078,ROBIN SULLIVAN,1976-02-05,U,keith14@example.org,08/17/2024,2024-06-13,147.77,Bronze,Y,Unknown,"492 Burnett Camp, New Joseph, CT 89984",,2650,weekly
CUST10079,Brian Ball,1981-05-13,Female,williambennett@example.net,2024-08-15,2024-09-16,35464.96753,gold,0,5 stars,"60538 Jackson Square Suite 247, East Tracyshire, WA 37388",728-527-3007,2242,Yearly
CUST10080,Jessica Wallace,1974-02-12,U,uwilson@example.net,2025-03-17,2024-07-09,69.21,bronze,0,4,"329 Walters Curve, Port Haileystad, HI 90946",468.997.1769x450,3913,Daily
CUST10081,Cameron Sanchez,2006-12-25,Female,charles75@example.net,08/06/2023,2024-09-05,435.48,Silver,Yes,Unknown,"09961 Goodman Ranch Apt. 161, Port Jennifer, OK 37895",(298)946-4647x991,4299 points,Daily
CUST10082,Carrie Pearson,1996-05-18,m,usantana@example.org,2022-12-20,2025-03-11,777.82,gold,N,3,"9889 Tiffany Field Suite 889, Julieberg, NH 82987",2104815824,3017,Monthly
CUST10083,Amber Brown,1994-09-20,nan,heatherrobinson@example.org,Invalid Date,2024-10-06,498.9,bronze,0,2,"006 John Ford, East Vincent, NM 00812",001-774-774-6914x1833,2832,Weekly
CUST10084,Allison Griffin,1944-09-15,U,tiffanyparker@example.com,2020-10-31,2024-11-04,806.52,Silver,nan,Unknown,"52220 Johnson Prairie, North Natasha, OR 63889",(295)546-5571x84807,904,daily
CUST10085,Michelle Carr,1976-02-23,Male,gporter@example.com,2024-06-21,2024-11-07,601.27,gold,nan,4,"Unit 6776 Box 7347, DPO AP 10685",,489,Daily
CUST10086,LORETTA GONZALEZ,1976-03-03,f,phillip87@example.net,2022-09-12,2024-08-24,379.07,,No,nan,"9759 Gray Drive Apt. 876, East Joseph, MO 94454",001-778-650-2386,2553,Yearly
CUST10087,Samuel Davenport,1968-09-09,M,juantaylor@example.org,2022-08-24,2024-05-18,526.29,Gold,nan,3,"33424 Le Lakes Suite 389, Port Whitneyshire, PR 04165",(849)673-7536,3854,weekly
CUST10088,Phillip Lopez,2002-12-21,Female,timothyscott@example.org,Invalid Date,2025-02-15,641.63,Bronze,0,nan,"8541 clark hills suite 456, markstad, sc 32883",276-649-3631x9393,4099,Weekly
CUST10089,Matthew Foster,1956-08-18,F,ashley90@example.net,06/26/2023,2025-02-11,541.77,GOLD,nan,5 stars,"79034 Walker Freeway Suite 913, North Eric, PW 46609",(743)257-3126,3654,daily
CUST10090,Michele Hart,1986-03-21,nan,david23@example.com,2020-09-27,2024-04-21,545.21,bronze,nan,5,"119 Huang Locks Apt. 371, North Stephanie, WI 29926",431-622-1431,903,weekly
CUST10091,Joshua Molina,1959-06-29,Female,crawfordricky@example.com,2020-04-11,2024-07-20,269.28,Bronze,Y,2,"776 Robert Mountain Suite 048, North Whitneyshire, AK 15104",359.600.5631,4653,Yearly
CUST10092,DUSTIN HORTON,1964-09-08,F,stephen39@example.net,2022-06-16,2024-11-21,370.11,silver,True,5 stars,"615 James Mount Suite 279, Justinbury, CO 44210",763-875-9259x957,2771,
CUST10093,Nathaniel Stewart,2006-07-31,f,invalid_email@,2021-08-12,2024-04-21,1177.54,bronze,Y,4,"PSC 8922, Box 7974, APO AE 25826",,4488,Weekly
CUST10094,Nicole Hall,1964-09-30,f,williamsmelissa@example.org,2024-01-13,2024-11-18,22168.89627,Bronze,False,5,"Unit 2167 Box 4358, DPO AP 66870",687-385-1189,3021,Monthly
CUST10095,Caroline Odom,1965-07-13,f,davidglenn@example.org,2025-01-29,2024-07-26,57.85,GOLD,True,5 stars,"93630 raymond fields, port marystad, nd 86529",6248321467,2147,Yearly
CUST10096,Steven Evans,1975-04-23,F,lpeterson@example.net,04/05/2023,2025-01-12,210.09,bronze,No,N/A,"5994 Holly Parks Apt. 940, West Michael, FM 58425",967-837-7738,2099 points,Weekly
CUST10097,Shannon Moore,1974-10-25,Female,lozanorichard@example.net,2023-10-28,2024-06-11,522.86,,Y,4,"11434 Anderson Street Suite 965, Alexanderchester, ME 84785",(607)488-8001,1026,daily
CUST10098,Gary Brown,2002-07-13,f,anthonywoods@example.com,2020-04-30,2025-03-28,768.04,Gold,1,Unknown,"7790 Maldonado Curve, North Rebekah, MD 42994",001-912-637-5054x64441,2668,Daily
CUST10099,Shelby Washington,1949-12-28,m,curtis86@example.org,2021-03-14,,344.02,Silver,True,5,"PSC 6599, Box 6208, APO AP 34684",001-734-365-5729x64316,3415 points,weekly
CUST10100,Clifford Alexander,1967-08-01,U,kelly51@example.org,2020-05-20,2025-03-29,806.5,Silver,Y,N/A,"43817 Boyd Gateway, Taylorshire, CO 69320",(419)470-0722x8951,3134,Weekly
CUST10101,Samuel Sims,1978-06-13,F,zrivera@example.org,2022-07-21,,517.9,Bronze,N,5 stars,"90882 Mitchell Views Suite 133, Christophermouth, CT 66478",(361)448-4639x1906,3223,Yearly
CUST10102,Jill Nolan,1979-02-10,F,cindy94@example.org,2025-01-06,2024-10-16,451.08,gold,False,5,"2365 Brown Green Suite 008, Steventon, NV 70645",+1-686-670-4291x596,4195 points,daily
CUST10103,Margaret Martinez,1946-01-13,Female,vanderson@example.net,Invalid Date,2024-04-25,726.83,Bronze,0,N/A,"94331 Julie Expressway Apt. 666, Thompsonport, PR 10754",(246)875-5948,3874,weekly
CUST10104,Sydney Ford,1980-01-10,F,edward85@example.net,2023-02-22,2024-07-20,340.44,bronze,1,4,"6359 Caroline Throughway, Joneshaven, ID 23038",,1560,Daily
CUST10105,Dr. Susan Keller MD,1996-09-05,F,richardsonkyle@example.com,2022-02-24,2024-09-03,413.99,Silver,Y,N/A,"15416 Brian Branch, New Annville, GA 44244",,4279,daily
CUST10106,Carol Cook,1993-01-12,f,barrerachristina@example.net,2022-05-14,,701.05,GOLD,No,3,"568 Stark Throughway Suite 622, West Lorraine, AR 13659",(484)812-6008x836,2406,Daily
CUST10107,Jacob Castillo,1945-01-23,Female,elizabethhouston@example.net,2022-08-06,2024-09-16,490.58,,Y,Unknown,"0723 Swanson Flat, West Maria, SD 16314",001-854-214-6041x7939,4750,Monthly
CUST10108,Jacob Martinez,1970-02-10,f,matthewmiller@example.org,2021-08-27,2024-05-21,1072.63,bronze,True,4,"unit 0889 box 3505, dpo ae 89748",+1-846-302-7701x7508,1033,Monthly
CUST10109,Collin Thompson,1987-12-31,U,oliviasimmons@example.com,2021-04-17,2025-01-31,708.15,silver,1,4,"Unit 0041 Box 1950, DPO AA 45329",3572382769,2225,
CUST10110,Robert Hardy,1946-08-07,nan,samanthacook@example.com,2024-12-02,2025-03-03,688.64,,0,1,"6142 Jacobs Rapid, Lanemouth, AR 03862",355-311-6633,718,daily
CUST10111,John Carney,1961-05-24,U,ralph21@example.com,2022-05-23,2025-03-20,485.15,Silver,False,Unknown,"573 Steven Dam Suite 902, Robertland, ID 75610",474.425.8351x96699,2556,Daily
CUST10112,Kristen Hayes,1961-07-13,nan,david77@example.net,2021-11-26,2024-05-30,762.43,gold,No,5,"8681 Victoria Highway Suite 450, Douglasport, TX 66574",001-722-241-0562x95844,3197,weekly
CUST10113,Michele Sanders,1963-04-04,f,uflowers@example.org,2023-07-21,,403.22,gold,No,nan,"681 Kristi Passage Suite 379, New Willieborough, OR 36727",001-587-435-3190x63415,3596 points,
CUST10114,Sarah Hill,1962-05-03,U,christina59@example.net,2021-05-28,2024-05-01,584.71,silver,True,3,"0996 Kelly Meadow Suite 908, Davisfurt, OR 79921",,1067,Daily
CUST10115,Thomas Vincent,1959-05-26,Female,morandeborah@example.net,2021-01-12,2024-07-10,225.11,bronze,True,5,"112 Jones Cliffs, New Michael, MP 62030",+1-885-543-4969x9636,3819,Weekly
CUST10116,Sonya Cooper,1969-07-15,M,currytammy@example.net,2023-10-22,2024-12-19,811.83,,Yes,4,"81676 Morris Green, West Brandonbury, NC 26159",2706294654,967,Weekly
CUST10117,Melissa Richard,1971-07-10,f,invalid_email@,09/09/2023,2024-07-08,587.18,bronze,Yes,N/A,"8196 Walters Inlet Suite 346, Port Elizabethchester, MS 26110",(281)672-5873x12892,1314,
CUST10118,Amber Vazquez,1995-04-26,nan,michaellopez@example.net,05/28/2021,,1094.75,bronze,nan,5,"143 jones isle, port ashleyshire, mh 51521",741.841.7271x289,3122 points,Monthly
CUST10119,Ryan Green,1976-07-06,m,kyleburton@example.net,2023-05-25,2024-08-10,1217.69,,1,2,"4557 Bradley Road, West Darryl, WY 38326",001-518-655-8101x03715,1979 points,Monthly
CUST10120,VANESSA GONZALEZ,1969-10-12,nan,harveyjoseph@example.org,2023-03-30,2024-06-03,729,GOLD,0,5 stars,"84403 Jennifer Trail, New Michaelland, SD 01810",,2893,Daily
CUST10121,Natalie Davis,1990-08-07,m,eriknash@example.net,2022-03-31,,520.53,gold,True,4,"12385 Gordon Squares, New Benjamintown, NC 40665",504.226.9895x3404,2475,Daily
CUST10122,Roberto Gonzales,1976-10-29,F,kellygarcia@example.com,04/12/2020,2024-09-02,216.18,Bronze,Y,5 stars,"14435 Danielle Stravenue Suite 156, Longmouth, KY 73180",001-216-760-1438x6609,2991,Yearly
CUST10123,Ashley Johnson,1977-05-03,U,hrogers@example.com,Invalid Date,2025-02-22,771.42,Bronze,Y,1,"80687 Mark Unions Apt. 289, New Julie, MD 89241",,1898,
CUST10124,Donna Morgan,1979-01-22,m,amanda99@example.net,03/09/2025,2024-09-05,563.09,GOLD,Y,1,"373 Charles Turnpike, Ronaldhaven, PR 07608",(657)263-4361x65728,4445 points,Weekly
CUST10125,DIANA PADILLA,1993-04-13,nan,rberger@example.net,04/03/2023,2025-03-10,661.41,GOLD,Yes,4,"USCGC Chavez, FPO AE 46843",,2338,Daily
CUST10126,Jeffrey Cole,1947-11-26,F,perryrebecca@example.org,03/17/2024,2025-01-08,1018.94,,Y,N/A,"0067 Murphy Valleys Apt. 543, Scottton, CA 30133",507-548-4999,4606,Daily
CUST10127,Michelle Chang,1968-05-24,M,invalid_email@,2021-01-18,2024-07-27,252.67,GOLD,No,N/A,"959 carey shoal, deniseberg, nj 58062",439-698-2740x33888,2398,Monthly
CUST10128,Christopher Thomas,1949-06-05,Female,barreradavid@example.org,2021-10-15,2025-03-29,222.71,Silver,0,1,"575 Mary Ferry Suite 165, Port Margaretfort, ME 33375",(900)988-1029x3598,1547,daily
CUST10129,Ruth Cooley,1988-02-22,Female,ruben07@example.com,2020-06-02,2024-09-16,429.07,,False,5,"707 Greg Via Suite 852, East Holly, MN 27254",,3687,Monthly
CUST10130,Tyler Jordan,1971-12-21,Female,shannonpeterson@example.com,2022-03-04,2024-06-10,746.36,Gold,True,5 stars,"822 Mark Springs Suite 433, South Brittanymouth, NE 86822",(508)800-1891,4321,Daily
CUST10131,Christina Lopez,1963-02-08,m,qsampson@example.net,10/02/2021,2024-07-08,666.46,Bronze,Yes,5,"716 Joanna Pike, New Andreaborough, RI 02457",,678,Weekly
CUST10132,Ethan Robertson,1974-06-12,M,browntammy@example.org,2021-05-11,2024-09-08,231.29,,No,N/A,"76051 Shannon Tunnel, Brianchester, TX 96110",(451)310-6618,3711,daily
CUST10133,Gary Olsen,1970-01-15,m,,2023-07-24,,726.97,Bronze,No,5 stars,"USNV Jackson, FPO AP 58075",,3423,Yearly
CUST10134,Trevor Ruiz,2000-11-27,U,hestertodd@example.net,11/18/2021,2024-12-11,139.64,bronze,1,5,"24394 Brenda Lodge Apt. 980, Lake Nathanton, SD 48029",123-456,2763,
